Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,_1stFlrSF,_2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,_3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePriceLog,GrLivAreaLog,Hood,ExteriorQual,KitchQual,BasemtQual,GarageFin,FenceQ,PoolQ,GarageC,GarageQ,FireplaceQ,HmFunctional,HeatingQ,BsmtFinType1q,BsmtFinType2q,BsmtExposur,BsmtCondQ,ExterCondQ,BsmtFinSF1,BsmtFinSF2,BsmtFullBath,BsmtHalfBath,BsmtUnfSF,GarageArea,GarageCars,GarageYrBlt,MasVnrArea,TotalBsmtSF,LotFrontage
11,20,RL,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,3,1,TA,5,Typ,0,NA,Detchd,Unf,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,129500,11.77143616,6.9469759921,2,3,3,4,2,1,1,4,4,1,8,5,4,2,2,4,4,906,0,1,0,134,384,1,1965,0,1040,70
12,60,RL,11924,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1182,1142,0,2324,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,TA,TA,Y,147,21,0,0,0,0,NA,NA,NA,0,7,2006,New,Partial,345000,12.751299696,7.751045118,4,5,5,6,4,1,1,4,4,5,8,5,7,2,2,4,4,998,0,1,0,177,736,3,2005,286,1175,85
13,20,RL,12968,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,912,0,0,912,1,0,2,1,TA,4,Typ,0,NA,Detchd,Unf,TA,TA,Y,140,0,0,0,176,0,NA,NA,NA,0,9,2008,WD,Normal,144000,11.877568579,6.8156399901,2,3,3,4,2,1,1,4,4,1,8,3,6,2,2,4,4,737,0,1,0,175,352,1,1962,0,912,114
14,20,RL,10652,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,1494,0,0,1494,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,TA,TA,Y,160,33,0,0,0,0,NA,NA,NA,0,8,2007,New,Partial,279500,12.540757572,7.3092123657,3,4,4,5,3,1,1,4,4,5,8,5,2,2,4,4,4,0,0,0,0,1494,840,3,2006,306,1494,91
15,20,RL,10920,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,1253,0,0,1253,1,1,2,1,TA,5,Typ,1,Fa,Attchd,RFn,TA,TA,Y,0,213,176,0,0,0,NA,GdWo,NA,0,5,2008,WD,Normal,157000,11.964001084,7.1332959549,2,3,3,4,3,3,1,4,4,0,8,3,5,2,2,4,4,733,0,1,0,520,352,1,1960,212,1253,104
16,45,RM,6120,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,854,0,0,854,1,0,2,1,TA,5,Typ,0,NA,Detchd,Unf,TA,TA,Y,48,112,0,0,0,0,NA,GdPrv,NA,0,7,2007,WD,Normal,132000,11.790557202,6.7499311938,2,3,3,4,2,5,1,4,4,1,8,5,2,2,2,4,4,0,0,0,0,832,576,2,1991,0,832,51
17,20,RL,11241,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,2,1,TA,5,Typ,1,TA,Attchd,Fin,TA,TA,Y,0,0,0,0,0,0,NA,NA,Shed,700,3,2010,WD,Normal,149000,11.911701585,6.9117473003,2,3,3,4,4,1,1,4,4,4,8,5,6,2,2,4,4,578,0,1,0,426,480,2,1970,180,1004,106
18,90,RL,10791,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,Slab,NA,NA,NA,NA,NA,GasA,TA,Y,SBrkr,1296,0,0,1296,2,0,2,2,TA,6,Typ,0,NA,CarPort,Unf,TA,TA,Y,0,0,0,0,0,0,NA,NA,Shed,500,10,2006,WD,Normal,90000,11.407564949,7.1670378769,2,3,3,1,2,1,1,4,4,1,8,3,1,1,1,1,4,0,0,0,0,0,516,2,1967,0,0,72
19,20,RL,13695,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,1,3,1,Gd,6,Typ,0,NA,Detchd,Unf,TA,TA,Y,0,102,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,159000,11.976659481,7.0157124205,3,3,4,4,2,1,1,4,4,1,8,5,7,2,2,4,4,646,0,1,0,468,576,2,2004,0,1114,66
20,20,RL,7560,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,1339,0,0,1339,1,0,3,1,TA,6,Min1,0,NA,Attchd,Unf,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,5,2009,COD,Abnorml,139000,11.842229212,7.1996783457,2,3,3,4,2,4,1,4,4,1,7,3,3,2,2,4,4,504,0,0,0,525,294,1,1958,0,1029,70
21,60,RL,14215,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,1158,1218,0,2376,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,TA,TA,Y,240,154,0,0,0,0,NA,NA,NA,0,11,2006,New,Partial,325300,12.692503112,7.7731736805,4,4,4,6,3,1,1,4,4,5,8,5,2,2,4,4,4,0,0,0,0,1158,853,3,2005,380,1158,101
22,45,RM,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseF,1108,0,0,1108,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,TA,TA,N,0,0,205,0,0,0,NA,GdPrv,NA,0,6,2007,WD,Normal,139400,11.845102777,7.0103118673,1,3,4,4,2,5,1,4,4,5,8,5,2,2,2,4,4,0,0,0,0,637,280,1,1930,0,637,57
23,20,RL,9742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,1795,0,0,1795,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,TA,TA,Y,171,159,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,230000,12.345834588,7.4927603009,3,4,4,5,3,1,1,4,4,5,8,5,2,2,2,4,4,0,0,0,0,1777,534,2,2002,281,1777,75
24,120,RM,4224,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,TA,TA,Y,100,110,0,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,129900,11.774520203,6.9660241871,1,3,3,5,2,1,1,4,4,4,8,3,7,2,2,4,4,840,0,1,0,200,572,2,1976,0,1040,44
25,20,RL,8246,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,3,1,Gd,6,Typ,1,TA,Attchd,Unf,TA,TA,Y,406,90,0,0,0,0,NA,MnPrv,NA,0,5,2010,WD,Normal,154000,11.944707881,6.9660241871,2,3,4,4,2,4,1,4,4,4,8,5,4,6,3,4,5,188,668,1,0,204,270,1,1968,0,1060,91
26,20,RL,14230,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,1600,0,0,1600,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,TA,TA,Y,0,56,0,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,256300,12.454103912,7.3777589082,4,4,4,5,3,1,1,4,4,5,8,5,2,2,2,4,4,0,0,0,0,1566,890,3,2007,640,1566,110
27,20,RL,7200,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,GasA,TA,Y,SBrkr,900,0,0,900,1,0,3,1,Gd,5,Typ,0,NA,Detchd,Unf,TA,TA,Y,222,32,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,134800,11.811547477,6.8023947633,2,3,4,4,2,1,1,4,4,1,8,3,5,4,3,4,4,234,486,0,1,180,576,2,2005,0,900,60
28,20,RL,11478,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1704,0,0,1704,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,TA,TA,Y,0,50,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,306000,12.631340381,7.4407337074,4,4,4,6,3,1,1,4,4,5,8,5,7,2,2,4,4,1218,0,1,0,486,772,3,2008,200,1704,98
29,20,RL,16321,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,2,1,TA,6,Typ,2,Gd,Attchd,RFn,TA,TA,Y,288,258,0,0,0,0,NA,NA,NA,0,12,2006,WD,Normal,207500,12.242886619,7.3777589082,2,3,3,4,3,1,1,4,4,5,8,3,5,2,5,4,4,1277,0,1,0,207,319,1,1957,0,1484,47
30,30,RM,6324,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,520,0,0,520,1,0,1,1,Fa,4,Typ,0,NA,Detchd,Unf,Fa,TA,Y,49,0,87,0,0,0,NA,NA,NA,0,5,2008,WD,Normal,68500,11.134589024,6.2538288116,2,3,0,4,2,1,1,4,0,1,8,0,2,2,2,4,4,0,0,0,0,520,240,1,1920,0,520,60
31,70,C (all),8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,TA,0,BrkTil,TA,TA,No,Unf,Unf,GasA,TA,N,SBrkr,649,668,0,1317,1,0,3,1,TA,6,Typ,0,NA,Detchd,Unf,TA,Fa,N,0,54,172,0,0,0,NA,MnPrv,NA,0,7,2008,WD,Normal,40000,10.596634733,7.1831117017,1,3,3,4,2,4,1,0,4,1,8,3,2,2,2,4,0,0,0,0,0,649,250,1,1920,0,649,50
32,20,RL,8544,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,1228,0,0,1228,1,1,3,1,Gd,6,Typ,0,NA,Attchd,Unf,TA,TA,Y,0,65,0,0,0,0,NA,MnPrv,NA,0,6,2008,WD,Normal,149350,11.914047824,7.1131421087,2,3,4,4,2,4,1,4,4,1,8,4,2,2,2,4,4,0,0,0,0,1228,271,1,1966,0,1228,92
33,20,RL,11049,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,1234,0,0,1234,2,0,3,1,Gd,7,Typ,0,NA,Attchd,RFn,TA,TA,Y,0,30,0,0,0,0,NA,NA,NA,0,1,2008,WD,Normal,179900,12.10015642,7.1180162045,3,4,4,6,3,1,1,4,4,1,8,5,2,2,4,4,4,0,0,0,0,1234,484,2,2007,0,1234,85
34,20,RL,10552,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,1700,0,0,1700,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,RFn,TA,TA,Y,0,38,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal,165500,12.016726474,7.43838353,2,3,4,4,3,1,1,4,4,5,8,4,4,2,2,4,4,1018,0,0,1,380,447,2,1959,0,1398,70
35,120,RL,7313,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1561,0,0,1561,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,TA,TA,Y,203,47,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,277500,12.533576212,7.3530819205,4,5,5,6,4,1,1,4,4,5,8,5,7,2,2,4,4,1153,0,1,0,408,556,2,2005,246,1561,60
36,60,RL,13418,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,1132,1320,0,2452,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,TA,TA,Y,113,32,0,0,0,0,NA,NA,NA,0,9,2006,WD,Normal,309000,12.641096556,7.8046592971,4,4,4,6,4,1,1,4,4,5,8,5,2,2,4,4,4,0,0,0,0,1117,691,3,2004,132,1117,108
37,20,RL,10859,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,1097,0,0,1097,1,1,3,1,TA,6,Typ,0,NA,Attchd,Unf,TA,TA,Y,392,64,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,145000,11.884489021,7.0003344603,3,3,3,5,2,1,1,4,4,1,8,5,2,2,2,4,4,0,0,0,0,1097,672,2,1995,0,1097,112
38,20,RL,8532,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,1297,0,0,1297,1,0,3,1,TA,5,Typ,1,TA,Attchd,Fin,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,10,2009,WD,Normal,153000,11.9381932,7.1678091843,2,3,3,4,4,1,1,4,4,4,8,4,4,2,2,4,4,1213,0,0,1,84,498,2,1954,650,1297,74
39,20,RL,7922,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,3,1,Gd,5,Typ,0,NA,Detchd,Unf,TA,TA,Y,0,52,0,0,0,0,NA,NA,NA,0,1,2010,WD,Abnorml,109000,11.599103161,6.9631899859,2,3,4,4,2,1,1,4,4,1,8,3,7,2,2,4,5,731,0,1,0,326,246,1,1953,0,1057,68
40,90,RL,6040,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,TA,TA,PConc,NA,NA,NA,NA,NA,GasA,TA,N,FuseP,1152,0,0,1152,2,0,2,2,Fa,6,Typ,0,NA,NA,NA,NA,NA,N,0,0,0,0,0,0,NA,NA,NA,0,6,2008,WD,AdjLand,82000,11.314474526,7.0492548413,2,3,0,1,1,1,1,1,1,1,8,3,1,1,1,1,4,0,0,0,0,0,0,0,1955,0,0,65
41,20,RL,8658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,1324,0,0,1324,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,TA,TA,Y,0,138,0,0,0,0,NA,GdWo,NA,0,12,2006,WD,Abnorml,160000,11.982929094,7.1884127365,2,3,3,4,3,3,1,4,4,4,8,5,4,2,2,4,4,643,0,0,0,445,440,2,1965,101,1088,84
